"idejemplar","numcatalogo","numcolecta","coleccion","institucion","fechacolecta","calificadordeterminacion","procedenciaejemplar","ejemplarfosil","obsusoinfo","cuarentena","formadecitar","licenciauso","probablelocnodecampo","proyecto","urlorigen","ultimafechaactualizacion","version","familia","genero","especie","categoriainfraespecie","categoriainfraespecie2","reinovalido","phylumdivisionvalido","clasevalida","ordenvalido","familiavalida","generovalido","especievalida","categoriainfraespecievalida","categoriainfraespecie2valida","autorvalido","grupobio","subgrupobio","cites","iucn","nom059","prioritaria","nivelprioridad","exoticainvasora","endemismo","longitud","latitud","paisoriginal","paismapa","estadooriginal","estadomapa","municipiooriginal","municipiomapa","localidad","anp","altitudmapa","regionmarinamapa","geoportal"
"c374ce9cfdc09f2f2d3f97e8cd529102","3342","470","CNAR Colección Nacional de Anfibios y Reptiles","IBUNAM Instituto de Biología, Universidad Nacional Autónoma de México","1977-06-15","","PreservedSpecimen","","","","Castro-Franco R. 2000. Herpetofauna del corredor biológico Chichinautzin y la Sierra de Huautla en el estado de Morelos. Centro de Investigaciones Biológicas. Universidad Autónoma del Estado de Morelos. Bases de datos SNIB-CONABIO, proyecto L319. México, D. F.","CC-BY","","L319","","2023-05-26","2021-03","Helodermatidae","Heloderma","Heloderma horridum","","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-99.308341","18.6000026","MEXICO","MEXICO","MORELOS","MORELOS","PUENTE DE IXTLA","PUENTE DE IXTLA","Puente de Ixtla - En las cercanías del Pueblo al este entre las barrancas y rios.","","903","","1"
"25c7f8033defe3f93af44082e1c499a5","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2020-07-28","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2021. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-NC","","Naturalista","https://www.inaturalist.org/observations/54661968","2023-06-15","2021-03","Helodermatidae","Heloderma","Heloderma horridum","","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-106.7724149","24.5081494","MEXICO","MEXICO","SINALOA","SINALOA","COSALA","COSALA","Sinaloa, MX","Municipal: Vado Hondo y Gruta Cosalá (a 2.569 km)","506","","0"
"d533def84ac56f19a1a49504f6c90200","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2021-08-26","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY","","Naturalista","https://www.inaturalist.org/observations/92600913","2023-06-15","2021-03","Helodermatidae","Heloderma","Heloderma horridum","","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-106.455635","23.3967894","MEXICO","MEXICO","SINALOA","SINALOA","MAZATLAN","MAZATLAN","Sinaloa, MX","","36","","0"
"d2cbad997687496b0ba0d6f4802af1e2","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2008-11-07","","HumanObservation","","El ejemplar se encuentra a 5,039 m. del municipio registrado. Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2019. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","","","Naturalista","https://www.inaturalist.org/observations/15592087","2023-06-15","2021-03","Helodermatidae","Heloderma","Heloderma horridum","","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-94.916181","16.4242033","MEXICO","MEXICO","OAXACA","OAXACA","UNION HIDALGO","JUCHITAN DE ZARAGOZA","Oaxaca, MX","","16","","0"
"021eca156726d8677a2b10f5562187d2","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2018-06-05","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2019. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-NC","","Naturalista","https://www.inaturalist.org/observations/17118121","2023-06-15","2021-03","Helodermatidae","Heloderma","Heloderma horridum","","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-105.0885659","19.4596695","MEXICO","MEXICO","JALISCO","","LA HUERTA","","Jalisco, MX","",,"PACIFICO TROPICAL","0"
"8c754bc7d4d1fb24858c98a1aaad331d","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2014-05-22","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2019. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY","","Naturalista","http://conabio.inaturalist.org/observations/694368","2023-06-15","2021-03","Helodermatidae","Heloderma","Heloderma horridum horridum","subespecie","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-106.5321183","23.2704147","MEXICO","MEXICO","SINALOA","","MAZATLAN","","Sinaloa, MX","",,"GOLFO DE CALIFORNIA","0"
"a971fdab08ab9f07fa9036a3f9de86c5","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2020-12-02","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-NC","","Naturalista","https://www.inaturalist.org/observations/66033952","2023-06-15","2021-03","Helodermatidae","Heloderma","Heloderma horridum","","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-106.7942656","24.4033573","MEXICO","MEXICO","SINALOA","SINALOA","COSALA","COSALA","Sinaloa, MX","Municipal: Vado Hondo y Gruta Cosalá (a 2.346 km)","599","","0"
"b6659d702d33448851096880cfacea13","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2016-08-29","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2019. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-NC","","Naturalista","http://conabio.inaturalist.org/observations/4000684","2023-06-15","2021-03","Helodermatidae","Heloderma","Heloderma horridum","","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-106.4867755","23.386145","MEXICO","MEXICO","SINALOA","SINALOA","MAZATLAN","MAZATLAN","Sinaloa, MX","Federal: Playa El Verde Camacho (a 3.237 km)","39","","0"
"9259a694268d115c686acd4c9edf3b19","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2017-11-03","","HumanObservation","","El ejemplar se encuentra a 16,785 m. del municipio registrado. Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2019. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-NC","","Naturalista","https://www.inaturalist.org/observations/13579070","2023-06-15","2021-03","Helodermatidae","Heloderma","Heloderma horridum","","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-99.0267933","18.9539716","MEXICO","MEXICO","MORELOS","MORELOS","TLALTIZAPAN DE ZAPATA","TEPOZTLAN","Morelos, MX","Federal: Corredor Biológico Chichinautzin","1526","","0"
"4035d79dc7e741aa4ba5591dab3c3e18","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2020-07-04","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-NC","","Naturalista","https://www.inaturalist.org/observations/96762929","2023-06-15","2021-03","Helodermatidae","Heloderma","Heloderma horridum","","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-104.4460248","20.9005679","MEXICO","MEXICO","NAYARIT","NAYARIT","AMATLAN DE CAÑAS","AMATLAN DE CAÑAS","Mexico","Federal: C.A.D.N.R. 043 Estado de Nayarit","1082","","0"
