"idejemplar","numcatalogo","numcolecta","coleccion","institucion","fechacolecta","calificadordeterminacion","procedenciaejemplar","ejemplarfosil","obsusoinfo","cuarentena","formadecitar","licenciauso","probablelocnodecampo","proyecto","urlorigen","ultimafechaactualizacion","version","familia","genero","especie","categoriainfraespecie","categoriainfraespecie2","reinovalido","phylumdivisionvalido","clasevalida","ordenvalido","familiavalida","generovalido","especievalida","categoriainfraespecievalida","categoriainfraespecie2valida","autorvalido","grupobio","subgrupobio","cites","iucn","nom059","prioritaria","nivelprioridad","exoticainvasora","endemismo","longitud","latitud","paisoriginal","paismapa","estadooriginal","estadomapa","municipiooriginal","municipiomapa","localidad","anp","altitudmapa","regionmarinamapa","geoportal"
"0f67e83240924a4ff2ce9206bf2fad18","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2020-10-11","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2021. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","","","Naturalista","https://www.inaturalist.org/observations/62434203","2023-06-15","2021-03","Sciuridae","Cynomys","Cynomys mexicanus","","","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Cynomys","Cynomys mexicanus","","","Merriam, 1892","Mamíferos","ardillas, marmotas, perritos de la pradera","Apéndice II","En peligro (EN)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-100.7330717","24.9372136","MEXICO","MEXICO","NUEVO LEON","NUEVO LEON","GALEANA","GALEANA","Nuevo León, MX","Estatal: Llano la Soledad (a 2.92 km)","1946","","0"
"6e65e0218fe06d073ad645e6084bee24","NO APLICA","","NO APLICA","FCF-UANL Facultad de Ciencias Forestales, Universidad Autónoma de Nuevo León","2004-07-15","","HumanObservation","","","","Scott-Morales L. y P. Vela-Coiffier. 2016. Modelos predictivos de distribución geográfica para Spizella wortheni, Cynomys mexicanus, Vulpes macrotis zinseri y Taxidea taxus berlandieri. Facultad de Ciencias Forestales. Universidad Autónoma de Nuevo León. Bases de datos SNIB-CONABIO, proyecto JM004. México, D. F.","CC-BY","","JM004","","2023-05-26","2021-03","Sciuridae","Cynomys","Cynomys mexicanus","","","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Cynomys","Cynomys mexicanus","","","Merriam, 1892","Mamíferos","ardillas, marmotas, perritos de la pradera","Apéndice II","En peligro (EN)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-101.0687249","24.9525422","MEXICO","MEXICO","COAHUILA DE ZARAGOZA","COAHUILA DE ZARAGOZA","SALTILLO","SALTILLO","Gómez Farías","","1896","","1"
"4382aecaa91ee82f52325a1c7f587cbb","NO APLICA","","NO APLICA","FCF-UANL Facultad de Ciencias Forestales, Universidad Autónoma de Nuevo León","2004-07-06","","HumanObservation","","","","Scott-Morales L. y P. Vela-Coiffier. 2016. Modelos predictivos de distribución geográfica para Spizella wortheni, Cynomys mexicanus, Vulpes macrotis zinseri y Taxidea taxus berlandieri. Facultad de Ciencias Forestales. Universidad Autónoma de Nuevo León. Bases de datos SNIB-CONABIO, proyecto JM004. México, D. F.","CC-BY","","JM004","","2023-05-26","2021-03","Sciuridae","Cynomys","Cynomys mexicanus","","","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Cynomys","Cynomys mexicanus","","","Merriam, 1892","Mamíferos","ardillas, marmotas, perritos de la pradera","Apéndice II","En peligro (EN)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-100.9207341","24.7067966","MEXICO","MEXICO","COAHUILA DE ZARAGOZA","COAHUILA DE ZARAGOZA","SALTILLO","SALTILLO","El Huron","","1726","","1"
"a1e796987a8f8f98bc021e2e13286524","NO APLICA","","NO APLICA","FCF-UANL Facultad de Ciencias Forestales, Universidad Autónoma de Nuevo León","2004-07-04","","HumanObservation","","","","Scott-Morales L. y P. Vela-Coiffier. 2016. Modelos predictivos de distribución geográfica para Spizella wortheni, Cynomys mexicanus, Vulpes macrotis zinseri y Taxidea taxus berlandieri. Facultad de Ciencias Forestales. Universidad Autónoma de Nuevo León. Bases de datos SNIB-CONABIO, proyecto JM004. México, D. F.","CC-BY","","JM004","","2023-05-26","2021-03","Sciuridae","Cynomys","Cynomys mexicanus","","","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Cynomys","Cynomys mexicanus","","","Merriam, 1892","Mamíferos","ardillas, marmotas, perritos de la pradera","Apéndice II","En peligro (EN)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-100.5039477","24.9822874","MEXICO","MEXICO","NUEVO LEON","NUEVO LEON","GALEANA","GALEANA","SAN JOAQUIN","","1892","","1"
"1a86709a496ec4de465e18e3115a834f","NO APLICA","","NO APLICA","FCF-UANL Facultad de Ciencias Forestales, Universidad Autónoma de Nuevo León","2011-01-25","","HumanObservation","","","","Scott-Morales L. y P. Vela-Coiffier. 2016. Modelos predictivos de distribución geográfica para Spizella wortheni, Cynomys mexicanus, Vulpes macrotis zinseri y Taxidea taxus berlandieri. Facultad de Ciencias Forestales. Universidad Autónoma de Nuevo León. Bases de datos SNIB-CONABIO, proyecto JM004. México, D. F.","CC-BY","","JM004","","2023-05-26","2021-03","Sciuridae","Cynomys","Cynomys mexicanus","","","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Cynomys","Cynomys mexicanus","","","Merriam, 1892","Mamíferos","ardillas, marmotas, perritos de la pradera","Apéndice II","En peligro (EN)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-100.9117888","24.2115577","MEXICO","MEXICO","SAN LUIS POTOSI","SAN LUIS POTOSI","VANEGAS","VANEGAS","El Gallo","","1708","","1"
"511eeeb27a3749f5fa7e3ad6efb8421e","NO APLICA","","NO APLICA","FCF-UANL Facultad de Ciencias Forestales, Universidad Autónoma de Nuevo León","2011-01-25","","HumanObservation","","","","Scott-Morales L. y P. Vela-Coiffier. 2016. Modelos predictivos de distribución geográfica para Spizella wortheni, Cynomys mexicanus, Vulpes macrotis zinseri y Taxidea taxus berlandieri. Facultad de Ciencias Forestales. Universidad Autónoma de Nuevo León. Bases de datos SNIB-CONABIO, proyecto JM004. México, D. F.","CC-BY","","JM004","","2023-05-26","2021-03","Sciuridae","Cynomys","Cynomys mexicanus","","","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Cynomys","Cynomys mexicanus","","","Merriam, 1892","Mamíferos","ardillas, marmotas, perritos de la pradera","Apéndice II","En peligro (EN)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-100.7983613","24.2704363","MEXICO","MEXICO","SAN LUIS POTOSI","SAN LUIS POTOSI","VANEGAS","VANEGAS","El Salado","","1714","","1"
"10b05028d6026357a23630a72bc180cc","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2016-09-07","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2019. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-NC","","Naturalista","http://conabio.inaturalist.org/observations/4061292","2023-06-15","2021-03","Sciuridae","Cynomys","Cynomys mexicanus","","","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Cynomys","Cynomys mexicanus","","","Merriam, 1892","Mamíferos","ardillas, marmotas, perritos de la pradera","Apéndice II","En peligro (EN)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-100.833345","25.0985628","MEXICO","MEXICO","COAHUILA DE ZARAGOZA","COAHUILA DE ZARAGOZA","SALTILLO","SALTILLO","Coahuila, MX","Estatal: La Hediondilla (a 2.33 km)","1871","","0"
"6f54cf3947452b43a878328eadc0ad1e","NO APLICA","","NO APLICA","FCF-UANL Facultad de Ciencias Forestales, Universidad Autónoma de Nuevo León","2004-07-05","","HumanObservation","","","","Scott-Morales L. y P. Vela-Coiffier. 2016. Modelos predictivos de distribución geográfica para Spizella wortheni, Cynomys mexicanus, Vulpes macrotis zinseri y Taxidea taxus berlandieri. Facultad de Ciencias Forestales. Universidad Autónoma de Nuevo León. Bases de datos SNIB-CONABIO, proyecto JM004. México, D. F.","CC-BY","","JM004","","2023-05-26","2021-03","Sciuridae","Cynomys","Cynomys mexicanus","","","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Cynomys","Cynomys mexicanus","","","Merriam, 1892","Mamíferos","ardillas, marmotas, perritos de la pradera","Apéndice II","En peligro (EN)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-100.7042327","25.1910683","MEXICO","MEXICO","NUEVO LEON","NUEVO LEON","GALEANA","GALEANA","El Guerrero","","2049","","1"
"a1e98fe7935a1e1808466c9729bd5835","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2012-04-07","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2019. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","","","Naturalista","https://www.inaturalist.org/observations/15229772","2023-06-15","2021-03","Sciuridae","Cynomys","Cynomys mexicanus","","","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Cynomys","Cynomys mexicanus","","","Merriam, 1892","Mamíferos","ardillas, marmotas, perritos de la pradera","Apéndice II","En peligro (EN)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-100.9996114","24.254853","MEXICO","MEXICO","SAN LUIS POTOSI","SAN LUIS POTOSI","VANEGAS","VANEGAS","Vanegas, MX-SL, MX","","2041","","0"
"1436752918d6547bd8927ef7df76fd43","NO APLICA","","NO APLICA","FCF-UANL Facultad de Ciencias Forestales, Universidad Autónoma de Nuevo León","2004-07-15","","HumanObservation","","","","Scott-Morales L. y P. Vela-Coiffier. 2016. Modelos predictivos de distribución geográfica para Spizella wortheni, Cynomys mexicanus, Vulpes macrotis zinseri y Taxidea taxus berlandieri. Facultad de Ciencias Forestales. Universidad Autónoma de Nuevo León. Bases de datos SNIB-CONABIO, proyecto JM004. México, D. F.","CC-BY","","JM004","","2023-05-26","2021-03","Sciuridae","Cynomys","Cynomys mexicanus","","","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Cynomys","Cynomys mexicanus","","","Merriam, 1892","Mamíferos","ardillas, marmotas, perritos de la pradera","Apéndice II","En peligro (EN)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-101.1058866","24.9827949","MEXICO","MEXICO","COAHUILA DE ZARAGOZA","COAHUILA DE ZARAGOZA","SALTILLO","SALTILLO","Gómez Farías","","1890","","1"
