"idejemplar","numcatalogo","numcolecta","coleccion","institucion","fechacolecta","calificadordeterminacion","procedenciaejemplar","ejemplarfosil","obsusoinfo","cuarentena","formadecitar","licenciauso","probablelocnodecampo","proyecto","urlorigen","ultimafechaactualizacion","version","familia","genero","especie","categoriainfraespecie","categoriainfraespecie2","reinovalido","phylumdivisionvalido","clasevalida","ordenvalido","familiavalida","generovalido","especievalida","categoriainfraespecievalida","categoriainfraespecie2valida","autorvalido","grupobio","subgrupobio","cites","iucn","nom059","prioritaria","nivelprioridad","exoticainvasora","endemismo","longitud","latitud","paisoriginal","paismapa","estadooriginal","estadomapa","municipiooriginal","municipiomapa","localidad","anp","altitudmapa","regionmarinamapa","geoportal"
"8ebd71e58a6c0d31537d9b08810f72cd","27650","5","CNAR Colección Nacional de Anfibios y Reptiles","IBUNAM Instituto de Biología, Universidad Nacional Autónoma de México","1997-07-28","","PreservedSpecimen","","","","Sánchez Cordero V., Magallón S., Espinosa, H., Reynoso V.H., Escalante, P. y Cervantes, F. 2021. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB CONABIO (vertebrados), proyecto KE002. Ciudad de México","CC-BY","","KE002","","2023-05-26","2022-11","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-99.10045","19.29139","MEXICO","MEXICO","CIUDAD DE MEXICO","CIUDAD DE MEXICO","XOCHIMILCO","XOCHIMILCO","Xochimilco","Federal: Cerro de La Estrella (a 3.451 km) / Estatal: Ejidos de Xochimilco y San Gregorio Atlapulco","2239","","1"
"e5fac4a829a90c0d563651c0795f4194","27651","6","CNAR Colección Nacional de Anfibios y Reptiles","IBUNAM Instituto de Biología, Universidad Nacional Autónoma de México","1997-07-28","","PreservedSpecimen","","","","Sánchez Cordero V., Magallón S., Espinosa, H., Reynoso V.H., Escalante, P. y Cervantes, F. 2021. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB CONABIO (vertebrados), proyecto KE002. Ciudad de México","CC-BY","","KE002","","2023-05-26","2022-11","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-99.10045","19.29139","MEXICO","MEXICO","CIUDAD DE MEXICO","CIUDAD DE MEXICO","XOCHIMILCO","XOCHIMILCO","Xochimilco","Federal: Cerro de La Estrella (a 3.451 km) / Estatal: Ejidos de Xochimilco y San Gregorio Atlapulco","2239","","1"
"1ab1a03045868cada70c9a7c4df6526f","26625","CJG 705","CM Amphibians and Reptiles Collection","CMNH Carnegie Museum of Natural History","1945-11-19","","PreservedSpecimen","","","","Aguilar-Miguel X. y G. Casas-Andreu. 2002. Algunas especies de anfibios y reptiles contenidos en el Proyecto de Norma Oficial Mexicana PROY-NOM-059-ECOL-2000. Facultad de Ciencias. Universidad Autónoma del Estado de México. Bases de datos SNIB-CONABIO, proyectos W035, U012 y H103. México, D. F.","CC-BY","","W035","","2023-05-26","2021-03","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-99.1388889","19.275","MEXICO","MEXICO","DISTRITO FEDERAL","CIUDAD DE MEXICO","XOCHIMILCO","XOCHIMILCO","Xochimilco","Federal: Fuentes Brotantes de Tlalpan (a 4.037 km) / Estatal: Ejidos de Xochimilco y San Gregorio Atlapulco (a 2.054 km)","2277","","1"
"8adfcdb428af5d65bead7bcf993542fd","26626","CJG 706","CM Amphibians and Reptiles Collection","CMNH Carnegie Museum of Natural History","1945-11-19","","PreservedSpecimen","","","","Aguilar-Miguel X. y G. Casas-Andreu. 2002. Algunas especies de anfibios y reptiles contenidos en el Proyecto de Norma Oficial Mexicana PROY-NOM-059-ECOL-2000. Facultad de Ciencias. Universidad Autónoma del Estado de México. Bases de datos SNIB-CONABIO, proyectos W035, U012 y H103. México, D. F.","CC-BY","","W035","","2023-05-26","2021-03","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-99.1388889","19.275","MEXICO","MEXICO","DISTRITO FEDERAL","CIUDAD DE MEXICO","XOCHIMILCO","XOCHIMILCO","Xochimilco","Federal: Fuentes Brotantes de Tlalpan (a 4.037 km) / Estatal: Ejidos de Xochimilco y San Gregorio Atlapulco (a 2.054 km)","2277","","1"
"ff6f3f7677df053357c7f4cfffbd6a5b","15679","","CNAR Colección Nacional de Anfibios y Reptiles","IBUNAM Instituto de Biología, Universidad Nacional Autónoma de México","","","PreservedSpecimen","","","","Sánchez Cordero V., Magallón S., Espinosa, H., Reynoso V.H., Escalante, P. y Cervantes, F. 2021. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB CONABIO (vertebrados), proyecto KE002. Ciudad de México","CC-BY","","KE002","","2023-05-26","2022-11","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica",,,"MEXICO","","CIUDAD DE MEXICO","","XOCHIMILCO","","","",,"","0"
"0af61e197a7e5edf6835bdc579b2d374","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2019-11-18","","HumanObservation","","El ejemplar se encuentra a 6,108 m. del municipio registrado. Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-NC","","Naturalista","https://www.inaturalist.org/observations/37524379","2023-06-15","2021-03","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-99.014655","19.3224789","MEXICO","MEXICO","DISTRITO FEDERAL","CIUDAD DE MEXICO","XOCHIMILCO","TLAHUAC","Mexico","Estatal: Sierra de Santa Catarina: Polígono 12 Fracción 3 (a 0.851 km)","2531","","0"
"4d9985a9dd29c428bcb8dae5a787da94","AMNH_A12000","","AMNH Herpetology Collection","AMNH American Museum of Natural History","","","PreservedSpecimen","","","","Flores-Villela. O.A, L. M. Ochoa-Ochoa, A. Domínguez-Pérez, B. Chávez-Galván y J. Campell. 2016. Anfibiofauna endémica frente al cambio climático: análisis de sensibilidad e incertidumbre. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto JM022. Ciudad de México","CC-BY","","JM022","","2023-05-26","2021-03","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-99.0199999","19.46","MEXICO","MEXICO","DISTRITO FEDERAL","MEXICO","","TEXCOCO","Lagoon north of Guadalupe","Federal: Lago de Texcoco (a 0.589 km)","2227","","0"
"3c634a22910b74eabcc87b9762338172","4324","","CAS-HERP Herpetology Collection","CAS California Academy of Sciences","","","PreservedSpecimen","","","","Scheinberg L, Fong J (2022). CAS Herpetology (HERP). Version 33.41. California Academy of Sciences. Occurrence dataset https://doi.org/10.15468/bvoyqy accessed via GBIF.org on 2022-07-07.","CC0_1_0","","gbif_2017","https://www.gbif.org/occurrence/543710271","2023-05-26","2022-11","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-99.1386111","19.4341666","MEXICO","MEXICO","DISTRITO FEDERAL","CIUDAD DE MEXICO","","CUAUHTEMOC","Mexico City || verbatimlocality: City of Mexico","","2249","","1"
"e8b25eee16339fd55d0a17f616eedfc9","4323","","CAS-HERP Herpetology Collection","CAS California Academy of Sciences","","","PreservedSpecimen","","","","Scheinberg L, Fong J (2022). CAS Herpetology (HERP). Version 33.41. California Academy of Sciences. Occurrence dataset https://doi.org/10.15468/bvoyqy accessed via GBIF.org on 2022-07-07.","CC0_1_0","","gbif_2017","https://www.gbif.org/occurrence/543710270","2023-05-26","2022-11","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-99.1386111","19.4341666","MEXICO","MEXICO","DISTRITO FEDERAL","CIUDAD DE MEXICO","","CUAUHTEMOC","Mexico City || verbatimlocality: City of Mexico","","2249","","1"
"fb2b991e81a2243bbc811e0cfd449f1b","CNAR17722","","CNAR Colección Nacional de Anfibios y Reptiles","IBUNAM Instituto de Biología, Universidad Nacional Autónoma de México","1988-07-18","","PreservedSpecimen","","","","Flores-Villela. O.A, L. M. Ochoa-Ochoa, A. Domínguez-Pérez, B. Chávez-Galván y J. Campell. 2016. Anfibiofauna endémica frente al cambio climático: análisis de sensibilidad e incertidumbre. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto JM022. Ciudad de México","CC-BY","","JM022","","2023-05-26","2021-03","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-99.0937399","19.2836599","MEXICO","MEXICO","DISTRITO FEDERAL","CIUDAD DE MEXICO","","XOCHIMILCO","Xochimilco, Cuemanco","Federal: Cerro de La Estrella (a 4.151 km) / Estatal: Ejidos de Xochimilco y San Gregorio Atlapulco","2229","","1"
